Trial,Model,Training_Time_Seconds,Training_Energy_Joules,Inference_Time_Seconds,Inference_Energy_Joules,F1_Score
1,Logistic Regression,449.417666044195,455.41818714812,0.027855914966701055,29.50163586397468,0.6194833259175769
2,Logistic Regression,372.93864405034856,449.9154831594624,0.018440772925546155,41.640473754272726,0.9314218055955221
3,Logistic Regression,57.50553980928603,115.13214293372695,0.02711200235622236,23.362276686734536,0.5851018350598427
4,Logistic Regression,276.1599117363811,182.65976142842595,0.02179014319152546,15.999898885442326,0.9885776262896641
5,Logistic Regression,258.20755637304,208.8927864526034,0.07585376111081045,11.93062050808653,0.5695591491720263
6,Logistic Regression,364.9766714864898,346.60238974215474,0.0770630532948776,14.923715499837519,0.8663650294904839
7,Logistic Regression,283.3176126607676,392.812175188993,0.030170996161599795,1.6776634949923364,0.6730335845190805
8,Logistic Regression,269.2374347260362,327.7270942545607,0.029999645904719957,26.423451050608644,0.963524520191684
9,Logistic Regression,323.1659076737642,137.1391577763382,0.06089044122139184,35.54973465160113,0.8372903661602764
10,Logistic Regression,449.01941769013933,204.85045107567083,0.017738134567870052,32.958524751531435,0.7309234031857335
11,Logistic Regression,178.37443633909544,106.97674139643097,0.08861516525521734,19.02158196442172,0.6580738600372749
12,Logistic Regression,282.6550377520283,149.1053603165269,0.0123803928620101,34.49719997808575,0.7037857049861209
13,Logistic Regression,382.9032920738821,115.08051523977505,0.04762756990880398,21.06837940618486,0.5203562589591214
14,Logistic Regression,249.88225252991583,383.2522991909738,0.07586631018119341,30.39210723448636,0.6705050150228591
15,Logistic Regression,70.24804356051689,315.9813933828485,0.03501420726385265,5.5297316218934345,0.8441122988389956
16,Logistic Regression,430.1107370169327,105.06169554347812,0.06083690469309675,31.832808875182756,0.8282685020353281
17,Logistic Regression,185.68813378417497,434.38855869266973,0.03775802444930179,3.333907269735569,0.5471858964646632
18,Logistic Regression,412.1100629736528,127.1272537947342,0.0932071204021006,44.88364718960527,0.8745019226477828
19,Logistic Regression,468.89945308930197,314.78312719448155,0.05278730835503702,30.20512507470017,0.5035890452042464
20,Logistic Regression,130.6272631205955,260.8586728853862,0.09598816739668664,16.591387439747102,0.9145828646111993
1,Naive Bayes,140.75855791490454,160.68876032266087,0.05932527366179437,36.18825336912712,0.7165222674827149
2,Naive Bayes,303.74714118261716,465.00512134328284,0.048617714846043346,31.59960388561934,0.9739431339684198
3,Naive Bayes,230.54356853757653,145.81260031952405,0.08300274086058441,17.996331657442035,0.5012855765230668
4,Naive Bayes,346.9108412543355,487.7111883259308,0.07961025799054901,20.077269456116063,0.8749576446923575
5,Naive Bayes,310.61981828158036,298.8747016789482,0.04799187856762869,14.396140320378766,0.8464289420994551
6,Naive Bayes,420.60557895894476,229.00218600364113,0.07669549482878957,44.469812771779004,0.6117337977136952
7,Naive Bayes,71.55232523050682,310.4577477280601,0.019120782091764817,37.95849382887265,0.698327630871527
8,Naive Bayes,121.58082088500943,396.9032605913106,0.07175706707415001,23.415011880669226,0.8720420632651967
9,Naive Bayes,266.66397956165065,319.2929529109197,0.052380214137342354,20.529687815350677,0.7811642605653141
10,Naive Bayes,426.2755222707537,117.53881037236496,0.05642177302775334,36.66666013008681,0.6553951655537065
11,Naive Bayes,230.9844610424211,374.935373132857,0.05523872311105656,3.86936043663633,0.6940036524743776
12,Naive Bayes,156.02128027588182,441.26368277310945,0.09577686467810206,24.58435807074422,0.6761389868208452
13,Naive Bayes,441.81274565526996,286.8765657219326,0.05017168610083806,15.857776493910386,0.5986227676819353
14,Naive Bayes,91.93551469401066,313.85316967711844,0.017002573620944372,29.76318154209456,0.7199005591555541
15,Naive Bayes,173.2773513548748,225.7208863259447,0.09041531013146362,36.04542968688257,0.9339859316032022
16,Naive Bayes,421.7716643447468,174.29021766959238,0.03148833193850932,7.7461322423213375,0.9504928467384701
17,Naive Bayes,299.97516508641763,304.1828258321081,0.02800187147956438,5.447620152496813,0.8095436440746333
18,Naive Bayes,492.7294256049285,217.29001692936026,0.030952166409984758,18.561643620630516,0.5020077453846388
19,Naive Bayes,353.37105943037733,473.201361606338,0.01734713407584189,29.50613263672588,0.7877109534232024
20,Naive Bayes,343.4465726377415,272.96181440651503,0.07393091597592685,19.47394701810602,0.6490966708849893
